id	name	formula	charge	inchikey	smiles	deltag	kegg id	ms id
cpd00443_c0	ABEE_c0	C7H6NO2	-1	ALYNCZNDIQEVRV-UHFFFAOYSA-M	Nc1ccc(C(=O)[O-])cc1	-48.99	C00568	cpd00443
cpd02920_c0	2-Amino-4-hydroxy-6-hydroxymethyl-7-8-dihydropteridinediphosphate_c0	C7H9N5O8P2	-2	FCQGJGLSOWZZON-UHFFFAOYSA-L	N=c1nc([O-])c2c([nH]1)NCC(COP(=O)(O)OP(=O)([O-])O)=N2	-423.61	C04807	cpd02920
cpd00012_c0	PPi_c0	HO7P2	-3	XPPKVPWEQAFLFU-UHFFFAOYSA-L	O=P([O-])([O-])OP(=O)(O)O	-480.93	C00013	cpd00012
cpd00067_c0	H+_c0	H	1	GPRLSGONYQIRFK-UHFFFAOYSA-N	[H+]	-9.53	C00080	cpd00067
cpd00683_c0	Dihydropteroate_c0	C14H13N6O3	-1	WBFYVDCHGVNRBH-UHFFFAOYSA-M	N=c1nc([O-])c2c([nH]1)NCC(CNc1ccc(C(=O)O)cc1)=N2	12.16	C00921	cpd00683
cpd00213_c0	Lipoamide_c0	C8H15NOS2	0	FCCDDURTIIUXBY-SSDOTTSWSA-N	N=C(O)CCCCC1CCSS1	-21.54	C00248	cpd00213
cpd14700_c0	2-Methyl-1-hydroxypropyl-TPP_c0	C16H25N4O8P2S	-1	SSYCSHKTIOHFEZ-UHFFFAOYSA-M	Cc1ncc(C[n+]2c(C(O)C(C)C)sc(CCOP(=O)([O-])OP(=O)([O-])O)c2C)c(=N)[nH]1	-403.72	C15976	cpd14700
cpd00056_c0	TPP_c0	C12H17N4O7P2S	-1	AYEKOFBPNLCAJY-UHFFFAOYSA-M	Cc1ncc(C[n+]2csc(CCOP(=O)([O-])OP(=O)([O-])O)c2C)c(=N)[nH]1	-368.32	C00068	cpd00056
cpd02700_c0	S-(2-Methylpropionyl)-dihydrolipoamide_c0	C12H23NO2S2	0	XZUKURPVWDTXGE-UHFFFAOYSA-N	CC(C)C(=O)SC(CCS)CCCCC(=N)O	-59.754	C04424	cpd02700
cpd00022_c0	Acetyl-CoA_c0	C23H34N7O17P3S	-4	ZSLZBFCDCINBPY-ZSJPKINUSA-J	CC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	-785.83	C00024	cpd00022
cpd00054_c0	L-Serine_c0	C3H7NO3	0	MTCFGRXMJLQNBG-REOHCLBHSA-N	NC(CO)C(=O)O	-124.15	C00065	cpd00054
cpd00010_c0	CoA_c0	C21H32N7O16P3S	-4	RGJOEKWQDUBAIZ-IBOSZNHHSA-J	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-])C(O)C([O-])=NCCC([O-])=NCCS	-751.994	C00010	cpd00010
cpd00722_c0	O-Acetyl-L-serine_c0	C5H9NO4	0	VZXPDPZARILFQX-BYPYZUCNSA-N	CC(=O)OCC(N)C(=O)O	-161.6	C00979	cpd00722
cpd00002_c0	ATP_c0	C10H13N5O13P3	-3	ZKHQWZAMYRWXGA-KQYNXXCUSA-K	Nc1ncnc2c1ncn2C1OC(COP(=O)([O-])OP(=O)(O)OP(=O)([O-])[O-])C(O)C1O	-673.85	C00002	cpd00002
cpd00046_c0	CMP_c0	C9H12N3O8P	-2	IERHLVCPSMICTF-XVFCMESISA-L	N=c1ccn(C2OC(COP(=O)([O-])O)C(O)C2O)c([O-])n1	-345.38	C00055	cpd00046
cpd00008_c0	ADP_c0	C10H13N5O10P2	-2	XTWYTFMLZFPYCI-KQYNXXCUSA-L	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)([O-])[O-])C(O)C1O	-465.85	C00008	cpd00008
cpd00096_c0	CDP_c0	C9H13N3O11P2	-2	ZWIADYZPOWUWEW-XVFCMESISA-L	N=c1ccn(C2OC(COP(=O)(O)OP(=O)([O-])O)C(O)C2O)c([O-])n1	-553.38	C00112	cpd00096
cpd00037_c0	UDP-N-acetylglucosamine_c0	C17H25N3O17P2	-2	LFTYTUAZOPRMMI-CFRASDGPSA-L	CC([O-])=NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc([O-])nc3=O)C(O)C2O)OC(CO)C(O)C1O	-756.9	C00043	cpd00037
cpd03494_c0	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine_c0	C87H139N7O23P2	-4	PNWZQTONLRRPST-KLDRQJOASA-J	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)OC1OC(CO)C(O)C(OC(C)C(O)=NC(C)C([O-])=NC(CCC([O-])=NC(CCCC(N)C(=O)O)C(O)=NC(C)C([O-])=NC(C)C(=O)O)C(=O)O)C1N=C(C)[O-]	-678.6	C05897	cpd03494
cpd00014_c0	UDP_c0	C9H12N2O12P2	-2	XCCTYIAWTASOJW-XVFCMESISA-L	O=c1nc([O-])ccn1C1OC(COP(=O)(O)OP(=O)([O-])O)C(O)C1O	-605.77	C00015	cpd00014
cpd03495_c0	Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala_c0	C95H152N8O28P2	-4	OXJNZXDFVLDLEI-MBCYCBSHSA-J	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2N=C(C)[O-])C(OC(C)C(O)=NC(C)C(O)=NC(CCC([O-])=NC(CCCC(N)C(=O)O)C(O)=NC(C)C([O-])=NC(C)C(=O)O)C(=O)O)C1N=C(C)[O-]	-831.43	C05898	cpd03495
cpd00004_c0	NADH_c0	C21H27N7O14P2	-2	BOPGDPNILDQYTO-NNYOXOHSSA-L	N=C([O-])C1=CN(C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1	-524.32	C00004	cpd00004
cpd11527_c0	7-methyl-trans-oct-2-enoyl-ACP_c0	C20H35N2O8PRS	-1					cpd11527
